diagram,ĢMI,ĢMI,ĢMI,ĢMI,ĢMI,ĢMI,ĢMI,ĢMI,ĢMI,ĢMI,ĢMI,ĢMI,ĢMI,ĢMI,ĢMI,ĢMI,ĢMI,ĢMI,ĢMI,ĢMI,ĢMI,ĢMI,ĢMI,ĢMI,ĢMI,ĢMI,ĢMI,ĢMI,ĢMI,ĢMI,ĢMI,ĢMI,ĢMI,ĢMI,ĢMI,ĢMI,ĢMI,ĢMI,ĢMI,ĢMI,ĢMI,ĢMI,ĢMI,ĢMI,ĢMI,ĢMI,ĢMI,ĢMI,ĢMI,ĢMI,ĢMI,ĢMI,ĢMI,ĢMI,ĢMI,ĢMI,ĢMI,ĢMI,ĢMI,ĢMI,ĢMI,ĢMI,ĢMI,ĢMI,ĢMI,ĢMI,ĢMI,ĢMI,ĢMI,ĢMI,ĢMI,ĢMI,ĢMI,ĢMI,ĢMI,ĢMI,ĢMI,ĢMI,ĢMI,ĢMI,ĢMI,ĢMI,ĢMI,ĢMI,ĢMI,ĢMI,ĢMI,ĢMI,ĢMI,ĢMI,ĢMI,ĢMI,ĢMI,ĢMI,ĢMI,ĢMI,ĢMI,ĢMI,ĢMI,ĢMI
A,0.007345842,0.007039263,0.00725608,0.006663826,0.007641958,0.007194769,0.007672617,0.007981244,0.00786156,0.006375613,0.007453398,0.006462403,0.008257086,0.007945211,0.007669764,0.007213126,0.009104048,0.008131335,0.006147902,0.007609032,0.007580192,0.00800512,0.007953435,0.007006649,0.006968963,0.00849881,0.008079772,0.007255051,0.006904341,0.006943693,0.007075973,0.006964794,0.006451803,0.007548194,0.007854427,0.006908305,0.007500314,0.007866248,0.008075847,0.007861947,0.007573027,0.009082986,0.007233444,0.007969857,0.006914168,0.007647491,0.007773829,0.007288038,0.007320109,0.007311707,0.007723432,0.007075501,0.007119567,0.006807091,0.008448129,0.007687096,0.008222256,0.006878997,0.006645005,0.007599435,0.007941239,0.00756666,0.006951666,0.008006775,0.005852587,0.007844771,0.007399454,0.007707892,0.008435843,0.008474111,0.006178378,0.007667485,0.006526017,0.008782009,0.006113114,0.008689639,0.006533439,0.007356939,0.006907406,0.008785406,0.005362342,0.007755832,0.006831327,0.007100559,0.007900069,0.009084127,0.007187661,0.007121834,0.008627466,0.007740961,0.007013108,0.007889326,0.007586239,0.007163357,0.007501846,0.007818601,0.008269131,0.007494142,0.007894294,0.006015862
A,0.007345842,0.007039263,0.00725608,0.006663826,0.007641958,0.007194769,0.007672617,0.007981244,0.00786156,0.006375613,0.007453398,0.006462403,0.008257086,0.007945211,0.007669764,0.007213126,0.009104048,0.008131335,0.006147902,0.007609032,0.007580192,0.00800512,0.007953435,0.007006649,0.006968963,0.00849881,0.008079772,0.007255051,0.006904341,0.006943693,0.007075973,0.006964794,0.006451803,0.007548194,0.007854427,0.006908305,0.007500314,0.007866248,0.008075847,0.007861947,0.007573027,0.009082986,0.007233444,0.007969857,0.006914168,0.007647491,0.007773829,0.007288038,0.007320109,0.007311707,0.007723432,0.007075501,0.007119567,0.006807091,0.008448129,0.007687096,0.008222256,0.006878997,0.006645005,0.007599435,0.007941239,0.00756666,0.006951666,0.008006775,0.005852587,0.007844771,0.007399454,0.007707892,0.008435843,0.008474111,0.006178378,0.007667485,0.006526017,0.008782009,0.006113114,0.008689639,0.006533439,0.007356939,0.006907406,0.008785406,0.005362342,0.007755832,0.006831327,0.007100559,0.007900069,0.009084127,0.007187661,0.007121834,0.008627466,0.007740961,0.007013108,0.007889326,0.007586239,0.007163357,0.007501846,0.007818601,0.008269131,0.007494142,0.007894294,0.006015862
A,0.007345842,0.007039263,0.00725608,0.006663826,0.007641958,0.007194769,0.007672617,0.007981244,0.00786156,0.006375613,0.007453398,0.006462403,0.008257086,0.007945211,0.007669764,0.007213126,0.009104048,0.008131335,0.006147902,0.007609032,0.007580192,0.00800512,0.007953435,0.007006649,0.006968963,0.00849881,0.008079772,0.007255051,0.006904341,0.006943693,0.007075973,0.006964794,0.006451803,0.007548194,0.007854427,0.006908305,0.007500314,0.007866248,0.008075847,0.007861947,0.007573027,0.009082986,0.007233444,0.007969857,0.006914168,0.007647491,0.007773829,0.007288038,0.007320109,0.007311707,0.007723432,0.007075501,0.007119567,0.006807091,0.008448129,0.007687096,0.008222256,0.006878997,0.006645005,0.007599435,0.007941239,0.00756666,0.006951666,0.008006775,0.005852587,0.007844771,0.007399454,0.007707892,0.008435843,0.008474111,0.006178378,0.007667485,0.006526017,0.008782009,0.006113114,0.008689639,0.006533439,0.007356939,0.006907406,0.008785406,0.005362342,0.007755832,0.006831327,0.007100559,0.007900069,0.009084127,0.007187661,0.007121834,0.008627466,0.007740961,0.007013108,0.007889326,0.007586239,0.007163357,0.007501846,0.007818601,0.008269131,0.007494142,0.007894294,0.006015862
A,0.007345842,0.007039263,0.00725608,0.006663826,0.007641958,0.007194769,0.007672617,0.007981244,0.00786156,0.006375613,0.007453398,0.006462403,0.008257086,0.007945211,0.007669764,0.007213126,0.009104048,0.008131335,0.006147902,0.007609032,0.007580192,0.00800512,0.007953435,0.007006649,0.006968963,0.00849881,0.008079772,0.007255051,0.006904341,0.006943693,0.007075973,0.006964794,0.006451803,0.007548194,0.007854427,0.006908305,0.007500314,0.007866248,0.008075847,0.007861947,0.007573027,0.009082986,0.007233444,0.007969857,0.006914168,0.007647491,0.007773829,0.007288038,0.007320109,0.007311707,0.007723432,0.007075501,0.007119567,0.006807091,0.008448129,0.007687096,0.008222256,0.006878997,0.006645005,0.007599435,0.007941239,0.00756666,0.006951666,0.008006775,0.005852587,0.007844771,0.007399454,0.007707892,0.008435843,0.008474111,0.006178378,0.007667485,0.006526017,0.008782009,0.006113114,0.008689639,0.006533439,0.007356939,0.006907406,0.008785406,0.005362342,0.007755832,0.006831327,0.007100559,0.007900069,0.009084127,0.007187661,0.007121834,0.008627466,0.007740961,0.007013108,0.007889326,0.007586239,0.007163357,0.007501846,0.007818601,0.008269131,0.007494142,0.007894294,0.006015862
A,0.007345842,0.007039263,0.00725608,0.006663826,0.007641958,0.007194769,0.007672617,0.007981244,0.00786156,0.006375613,0.007453398,0.006462403,0.008257086,0.007945211,0.007669764,0.007213126,0.009104048,0.008131335,0.006147902,0.007609032,0.007580192,0.00800512,0.007953435,0.007006649,0.006968963,0.00849881,0.008079772,0.007255051,0.006904341,0.006943693,0.007075973,0.006964794,0.006451803,0.007548194,0.007854427,0.006908305,0.007500314,0.007866248,0.008075847,0.007861947,0.007573027,0.009082986,0.007233444,0.007969857,0.006914168,0.007647491,0.007773829,0.007288038,0.007320109,0.007311707,0.007723432,0.007075501,0.007119567,0.006807091,0.008448129,0.007687096,0.008222256,0.006878997,0.006645005,0.007599435,0.007941239,0.00756666,0.006951666,0.008006775,0.005852587,0.007844771,0.007399454,0.007707892,0.008435843,0.008474111,0.006178378,0.007667485,0.006526017,0.008782009,0.006113114,0.008689639,0.006533439,0.007356939,0.006907406,0.008785406,0.005362342,0.007755832,0.006831327,0.007100559,0.007900069,0.009084127,0.007187661,0.007121834,0.008627466,0.007740961,0.007013108,0.007889326,0.007586239,0.007163357,0.007501846,0.007818601,0.008269131,0.007494142,0.007894294,0.006015862
A,0.012530061,0.011589158,0.011914148,0.011174318,0.01194904,0.012361678,0.012609531,0.012951644,0.013436797,0.010433138,0.012556594,0.01112362,0.013658376,0.012949855,0.012255845,0.011961326,0.014613345,0.013011341,0.010397218,0.012666785,0.01215879,0.012873192,0.012729223,0.011640729,0.011576445,0.013241961,0.012908629,0.01195703,0.011793052,0.011693214,0.011549236,0.011641031,0.010812412,0.012557184,0.012956658,0.011944888,0.012333779,0.012598919,0.013346258,0.012711445,0.012418954,0.014103711,0.012342,0.013114236,0.011268301,0.011949777,0.012966818,0.011818649,0.011988377,0.011784097,0.012760748,0.011895423,0.011882813,0.01065627,0.013750215,0.012798461,0.013106025,0.01161861,0.01056925,0.012871808,0.013429037,0.01219911,0.011189988,0.012837024,0.009750391,0.012751218,0.011857027,0.012750985,0.013224976,0.013747757,0.009919056,0.012756521,0.011077336,0.014307179,0.009923598,0.013935053,0.011330831,0.011717563,0.0112897,0.014003921,0.009180706,0.012940336,0.011268875,0.012002875,0.012824445,0.014291757,0.012346681,0.011599896,0.013980642,0.012827706,0.011757441,0.012515998,0.012849877,0.01221443,0.012496085,0.012596664,0.013585831,0.01236835,0.013194838,0.009808351
A,0.012530061,0.011589158,0.011914148,0.011174318,0.01194904,0.012361678,0.012609531,0.012951644,0.013436797,0.010433138,0.012556594,0.01112362,0.013658376,0.012949855,0.012255845,0.011961326,0.014613345,0.013011341,0.010397218,0.012666785,0.01215879,0.012873192,0.012729223,0.011640729,0.011576445,0.013241961,0.012908629,0.01195703,0.011793052,0.011693214,0.011549236,0.011641031,0.010812412,0.012557184,0.012956658,0.011944888,0.012333779,0.012598919,0.013346258,0.012711445,0.012418954,0.014103711,0.012342,0.013114236,0.011268301,0.011949777,0.012966818,0.011818649,0.011988377,0.011784097,0.012760748,0.011895423,0.011882813,0.01065627,0.013750215,0.012798461,0.013106025,0.01161861,0.01056925,0.012871808,0.013429037,0.01219911,0.011189988,0.012837024,0.009750391,0.012751218,0.011857027,0.012750985,0.013224976,0.013747757,0.009919056,0.012756521,0.011077336,0.014307179,0.009923598,0.013935053,0.011330831,0.011717563,0.0112897,0.014003921,0.009180706,0.012940336,0.011268875,0.012002875,0.012824445,0.014291757,0.012346681,0.011599896,0.013980642,0.012827706,0.011757441,0.012515998,0.012849877,0.01221443,0.012496085,0.012596664,0.013585831,0.01236835,0.013194838,0.009808351
A,0.012530061,0.011589158,0.011914148,0.011174318,0.01194904,0.012361678,0.012609531,0.012951644,0.013436797,0.010433138,0.012556594,0.01112362,0.013658376,0.012949855,0.012255845,0.011961326,0.014613345,0.013011341,0.010397218,0.012666785,0.01215879,0.012873192,0.012729223,0.011640729,0.011576445,0.013241961,0.012908629,0.01195703,0.011793052,0.011693214,0.011549236,0.011641031,0.010812412,0.012557184,0.012956658,0.011944888,0.012333779,0.012598919,0.013346258,0.012711445,0.012418954,0.014103711,0.012342,0.013114236,0.011268301,0.011949777,0.012966818,0.011818649,0.011988377,0.011784097,0.012760748,0.011895423,0.011882813,0.01065627,0.013750215,0.012798461,0.013106025,0.01161861,0.01056925,0.012871808,0.013429037,0.01219911,0.011189988,0.012837024,0.009750391,0.012751218,0.011857027,0.012750985,0.013224976,0.013747757,0.009919056,0.012756521,0.011077336,0.014307179,0.009923598,0.013935053,0.011330831,0.011717563,0.0112897,0.014003921,0.009180706,0.012940336,0.011268875,0.012002875,0.012824445,0.014291757,0.012346681,0.011599896,0.013980642,0.012827706,0.011757441,0.012515998,0.012849877,0.01221443,0.012496085,0.012596664,0.013585831,0.01236835,0.013194838,0.009808351
A,0.012530061,0.011589158,0.011914148,0.011174318,0.01194904,0.012361678,0.012609531,0.012951644,0.013436797,0.010433138,0.012556594,0.01112362,0.013658376,0.012949855,0.012255845,0.011961326,0.014613345,0.013011341,0.010397218,0.012666785,0.01215879,0.012873192,0.012729223,0.011640729,0.011576445,0.013241961,0.012908629,0.01195703,0.011793052,0.011693214,0.011549236,0.011641031,0.010812412,0.012557184,0.012956658,0.011944888,0.012333779,0.012598919,0.013346258,0.012711445,0.012418954,0.014103711,0.012342,0.013114236,0.011268301,0.011949777,0.012966818,0.011818649,0.011988377,0.011784097,0.012760748,0.011895423,0.011882813,0.01065627,0.013750215,0.012798461,0.013106025,0.01161861,0.01056925,0.012871808,0.013429037,0.01219911,0.011189988,0.012837024,0.009750391,0.012751218,0.011857027,0.012750985,0.013224976,0.013747757,0.009919056,0.012756521,0.011077336,0.014307179,0.009923598,0.013935053,0.011330831,0.011717563,0.0112897,0.014003921,0.009180706,0.012940336,0.011268875,0.012002875,0.012824445,0.014291757,0.012346681,0.011599896,0.013980642,0.012827706,0.011757441,0.012515998,0.012849877,0.01221443,0.012496085,0.012596664,0.013585831,0.01236835,0.013194838,0.009808351
A,0.012530061,0.011589158,0.011914148,0.011174318,0.01194904,0.012361678,0.012609531,0.012951644,0.013436797,0.010433138,0.012556594,0.01112362,0.013658376,0.012949855,0.012255845,0.011961326,0.014613345,0.013011341,0.010397218,0.012666785,0.01215879,0.012873192,0.012729223,0.011640729,0.011576445,0.013241961,0.012908629,0.01195703,0.011793052,0.011693214,0.011549236,0.011641031,0.010812412,0.012557184,0.012956658,0.011944888,0.012333779,0.012598919,0.013346258,0.012711445,0.012418954,0.014103711,0.012342,0.013114236,0.011268301,0.011949777,0.012966818,0.011818649,0.011988377,0.011784097,0.012760748,0.011895423,0.011882813,0.01065627,0.013750215,0.012798461,0.013106025,0.01161861,0.01056925,0.012871808,0.013429037,0.01219911,0.011189988,0.012837024,0.009750391,0.012751218,0.011857027,0.012750985,0.013224976,0.013747757,0.009919056,0.012756521,0.011077336,0.014307179,0.009923598,0.013935053,0.011330831,0.011717563,0.0112897,0.014003921,0.009180706,0.012940336,0.011268875,0.012002875,0.012824445,0.014291757,0.012346681,0.011599896,0.013980642,0.012827706,0.011757441,0.012515998,0.012849877,0.01221443,0.012496085,0.012596664,0.013585831,0.01236835,0.013194838,0.009808351
